-243,-54,1.494521359448734e-07
-243,-53,1.494521359448734e-07
-243,-52,1.494521359448734e-07
-243,-46,4.1153486709457896e-08
-243,-45,4.1153486709457896e-08
-243,-44,4.1153486709457896e-08
-243,-43,4.1153486709457896e-08
-243,-42,4.1153486709457896e-08
-243,-41,8.272519990986556e-08
-243,-40,8.272519990986556e-08
-243,-39,8.272519990986556e-08
-243,-38,8.272519990986556e-08
-243,-37,8.272519990986556e-08
-243,-27,8.140159671130773e-08
-243,-26,8.140159671130773e-08
-243,-25,8.140159671130773e-08
-243,-24,8.140159671130773e-08
-243,-23,8.140159671130773e-08
-243,-22,8.140159671130773e-08
-243,-21,8.140159671130773e-08
-243,-20,8.140159671130773e-08
-243,-19,8.140159671130773e-08
-243,-18,8.140159671130773e-08
-243,-17,8.140159671130773e-08
-243,-16,8.140159671130773e-08
-243,-15,8.344602430682493e-08
-243,-14,8.344602430682493e-08
-243,-13,8.344602430682493e-08
-243,-12,8.344602430682493e-08
-243,-11,8.344602430682493e-08
-243,-10,8.344602430682493e-08
-243,0,8.344602430682493e-08
-243,1,8.344602430682493e-08
-243,2,8.344602430682493e-08
-243,3,8.344602430682493e-08
-243,4,8.344602430682493e-08
-243,5,8.344602430682493e-08
-243,6,8.344602430682493e-08
-243,7,8.344602430682493e-08
-243,8,8.344602430682493e-08
-243,9,8.344602430682493e-08
-243,10,8.344602430682493e-08
-243,11,8.344602430682493e-08
-243,12,8.344602430682493e-08
-243,13,8.344602430682493e-08
-243,14,8.344602430682493e-08
-243,15,8.344602430682493e-08
-243,16,8.140159671130773e-08
-243,17,8.140159671130773e-08
-243,27,8.140159671130773e-08
-243,28,1.2296313702614458e-07
-243,29,1.2296313702614458e-07
-243,30,1.2296313702614458e-07
-243,31,1.2296313702614458e-07
-243,32,1.2296313702614458e-07
-243,33,1.2296313702614458e-07
-243,34,1.2296313702614458e-07
-243,35,8.272519990986556e-08
-243,36,8.272519990986556e-08
-243,37,8.272519990986556e-08
-243,38,8.272519990986556e-08
-243,39,8.272519990986556e-08
-243,40,8.272519990986556e-08
-243,41,8.272519990986556e-08
-243,42,4.1153486709457896e-08
-243,43,4.1153486709457896e-08
-243,44,4.1153486709457896e-08
-243,54,1.494521359448734e-07
-243,55,1.494521359448734e-07
-243,56,1.494521359448734e-07
-243,57,2.527999897866699e-07
-243,58,2.527999897866699e-07
-242,-51,4.1153486709457896e-08
-242,-50,4.1153486709457896e-08
-242,-49,4.1153486709457896e-08
-242,-48,4.1153486709457896e-08
-242,-47,4.1153486709457896e-08
